Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
10/02/2025,24,48.7,27.4,71.1,Seedling,Calcium Nitrate,18.4,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,9.39,3680
27/10/2025,29.7,35,32.8,77.7,Flowering,MOP,22.2,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.37,2886
12/02/2025,24.2,50.8,34.2,67.6,Tillering,Compost Tea,19.6,Enhances microbial activity,Ensure soil testing before application.,9.43,1568
06/01/2025,24.4,71.9,32.2,65.8,Seedling,Magnesium Sulphate,13.4,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,10.06,2412
27/08/2025,27.3,52.2,33.8,61.3,Panicle Initiation,Seaweed Extract,9.7,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,9.4,2425
20/09/2025,22.8,34.1,28,63.4,Seedling,Magnesium Sulphate,16.1,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,8.29,2898
23/03/2025,33.7,71.8,29.4,63.9,Flowering,Boron,5.5,Micronutrient for flower formation,Use split application to reduce leaching.,10.38,2750
08/01/2025,30.4,73.8,26.9,84.7,Tillering,Biochar,27.2,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,11.01,2720
04/02/2025,22.5,28.8,29.4,82.2,Tillering,Organic Compost,33.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.02,1665
05/01/2025,26.2,49.1,33.8,70.1,Tillering,MOP,18.5,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.48,2405
12/10/2025,24.8,63.2,27.7,79.7,Panicle Initiation,Seaweed Extract,11,Growth stimulant and micronutrients,Use split application to reduce leaching.,10.03,2750
31/07/2025,33,61.4,36,76.7,Harvest,Organic Compost,16.8,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.66,840
19/10/2025,32.5,42.6,26.2,71.4,Flowering,Iron Chelate,9.1,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.42,4095
15/01/2025,32.1,56.2,33.4,76.1,Tillering,Urea,39.6,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.63,4752
22/05/2025,25.4,47.4,30.3,88,Flowering,MOP,22.3,Potassium for stem and disease resistance,Ensure soil testing before application.,9.85,2899
28/09/2025,33.8,39.2,31.6,90.3,Tillering,Compost Tea,18.6,Enhances microbial activity,Prefer organic alternatives where possible.,9.83,1488
23/08/2025,24.9,26.5,32.3,70.9,Flowering,Iron Chelate,7.3,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.53,3285
27/10/2025,30.3,61.3,34.1,66,Tillering,Urea,34.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.5,4152
04/01/2025,27.5,26,32.9,76.5,Seedling,Magnesium Sulphate,15.7,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,8.75,2826
28/06/2025,25.8,31.7,30.7,94.5,Flowering,Boron,5.2,Micronutrient for flower formation,Use split application to reduce leaching.,9.15,2600
14/03/2025,26.3,53.1,28.5,91.5,Flowering,Zinc Sulphate,10,Improves grain quality and resistance,Ensure soil testing before application.,9.86,3000
