Date,Region,Rainfall_mm,Temperature_C,Sentiment_Score,News_Sentiment,Nitrogen_N,Phosphorus_P,Potassium_K,Paddy_Price_LKR_per_kg,Demand_Tons
2021-01-01,North,35.91,26.65,0.197,-0.688,545.9,5.3,7.8,72.43,309.06
2021-01-01,South,30.8,29.53,-0.959,0.94,483.5,12.4,11.8,76.56,308.55
2021-01-01,East,16.97,28.36,-0.633,-0.392,583.8,5.9,9.2,70.41,288.49
2021-01-01,West,0.86,29.38,0.224,-0.721,454.5,7.2,10.1,71.75,297.1
2021-01-01,Central,11.22,23.47,0.57,-0.601,454.0,7.0,11.5,76.24,308.43
2021-01-02,North,114.53,27.99,0.215,-0.659,531.7,7.2,10.9,76.51,334.46
2021-01-02,South,15.08,26.27,-0.12,-0.756,571.4,5.1,13.1,73.19,290.72
2021-01-02,East,16.02,26.99,-0.482,0.325,554.7,8.4,6.6,73.28,305.52
2021-01-02,West,29.27,22.1,-0.63,0.939,593.6,8.4,5.9,76.55,316.87
2021-01-02,Central,29.48,29.2,-0.823,-0.608,464.5,13.5,11.0,73.02,280.42
2021-01-03,North,22.83,26.25,-0.457,0.657,571.1,12.3,10.4,78.68,310.77
2021-01-03,South,6.94,24.8,-0.718,0.604,596.0,8.8,10.5,76.07,299.39
2021-01-03,East,14.05,28.53,0.631,0.414,574.4,11.2,13.6,81.76,328.47
2021-01-03,West,46.63,28.89,-0.283,-0.768,536.6,12.0,5.5,72.47,298.12
2021-01-03,Central,31.98,29.44,-0.873,-0.378,484.2,7.9,5.8,68.26,289.86
2021-01-04,North,55.51,24.75,0.774,-0.056,484.9,6.0,7.8,77.26,341.13
2021-01-04,South,32.68,25.39,0.123,0.542,545.4,8.6,8.7,78.04,328.02
2021-01-04,East,163.67,24.7,-0.949,-0.784,481.4,7.7,14.4,75.88,318.54
2021-01-04,West,26.72,26.25,0.017,0.815,547.2,11.1,6.7,78.39,328.81
2021-01-04,Central,16.01,23.26,-0.542,-0.846,559.4,6.6,8.8,71.3,279.51
2021-01-05,North,12.38,25.75,0.616,0.267,598.4,11.4,10.6,81.23,324.68
2021-01-05,South,30.32,27.79,0.785,0.079,552.7,13.4,12.8,82.74,329.98
2021-01-05,East,13.72,26.18,-0.146,0.636,484.4,5.3,8.2,73.97,320.08
2021-01-05,West,0.78,27.86,-0.76,-0.325,490.2,7.1,14.4,72.02,279.15
2021-01-05,Central,22.0,28.01,0.406,-0.273,581.5,8.1,11.6,76.98,314.53
2021-01-06,North,24.64,22.82,-0.43,-0.926,509.3,14.1,9.6,75.84,279.34
2021-01-06,South,26.18,33.16,-0.443,0.817,489.7,7.5,10.6,73.53,321.05
2021-01-06,East,15.44,25.95,0.971,-0.516,489.4,10.8,14.0,80.63,318.34
2021-01-06,West,54.3,28.88,0.456,-0.264,509.9,7.2,15.0,78.15,326.55
2021-01-06,Central,63.28,30.48,-0.819,0.671,526.4,5.9,5.5,70.92,323.55
2021-01-07,North,10.31,25.58,0.182,0.355,466.4,11.3,12.9,79.71,315.7
2021-01-07,South,25.18,26.09,0.29,-0.651,513.3,5.6,8.8,73.1,307.88
2021-01-07,East,11.09,30.87,-0.725,-0.318,599.4,10.3,14.7,74.21,281.79
2021-01-07,West,18.71,28.39,0.634,0.11,579.1,5.1,12.2,77.24,327.86
2021-01-07,Central,5.0,27.46,0.794,0.801,552.3,10.4,7.7,80.24,339.82
2021-01-08,North,6.2,29.98,0.452,0.794,546.1,6.1,9.3,76.46,334.61
2021-01-08,South,30.17,27.87,-0.832,-0.677,518.1,14.5,13.8,75.58,276.34
2021-01-08,East,29.64,29.12,-0.797,0.327,489.5,10.0,6.8,72.12,303.11
2021-01-08,West,81.33,28.18,-0.551,0.424,586.9,13.7,8.0,78.41,324.32
2021-01-08,Central,13.09,24.17,0.299,0.698,545.8,11.1,6.5,79.36,327.92
2021-01-09,North,44.54,31.74,-0.265,-0.47,564.4,10.4,12.8,74.93,302.12
2021-01-09,South,46.17,26.4,0.59,0.005,529.6,5.0,8.2,75.96,335.46
2021-01-09,East,20.22,33.8,0.445,-0.438,452.9,14.3,13.8,77.73,310.49
2021-01-09,West,25.82,26.66,0.881,0.908,574.7,8.1,5.6,79.71,352.6
2021-01-09,Central,20.92,28.79,0.857,-0.144,581.7,14.5,5.9,79.54,326.69
2021-01-10,North,17.22,28.94,0.702,-0.366,522.9,5.7,12.6,75.96,319.72
2021-01-10,South,29.38,23.89,0.392,0.14,564.9,6.3,9.8,77.8,325.29
2021-01-10,East,29.74,24.98,-0.72,0.037,532.5,7.7,13.7,75.35,295.5
2021-01-10,West,32.59,28.4,0.405,-0.281,513.5,7.1,10.4,75.41,319.69
2021-01-10,Central,46.94,25.49,0.734,0.826,559.5,7.0,8.1,80.34,353.76
2021-01-11,North,36.36,36.63,0.3,0.404,599.3,11.5,9.4,76.72,332.33
2021-01-11,South,29.77,27.44,-0.249,-0.812,527.6,6.2,7.2,70.09,294.34
2021-01-11,East,16.73,27.2,0.085,-0.427,500.7,10.9,7.3,74.41,303.04
2021-01-11,West,17.8,27.2,0.645,-0.28,483.0,5.7,11.3,75.68,320.6
2021-01-11,Central,26.27,24.31,-0.568,0.246,484.3,14.1,13.6,79.59,298.86
2021-01-12,North,105.67,31.61,0.452,0.952,460.6,7.4,11.7,80.0,370.47
2021-01-12,South,2.72,27.47,-0.458,-0.122,482.1,6.3,14.4,73.35,291.25
2021-01-12,East,12.83,31.15,-0.687,-0.5,535.7,9.7,12.8,72.05,281.49
2021-01-12,West,77.14,28.01,-0.44,0.91,571.1,6.9,6.0,75.36,339.76
2021-01-12,Central,33.04,31.13,-0.161,-0.505,514.7,9.2,9.7,72.63,302.28
2021-01-13,North,58.43,25.23,-0.768,-0.908,559.4,11.7,14.8,76.21,282.42
2021-01-13,South,20.68,31.68,-0.017,-0.053,464.8,9.0,8.4,72.69,311.83
2021-01-13,East,20.42,23.88,0.232,0.27,579.3,7.5,6.9,76.81,321.65
2021-01-13,West,22.59,25.84,0.006,0.713,517.3,9.2,7.8,77.31,325.8
2021-01-13,Central,10.4,28.16,0.285,-0.947,487.5,14.2,9.4,75.82,293.07
2021-01-14,North,39.74,27.32,-0.224,0.287,579.2,10.5,5.5,75.48,317.99
2021-01-14,South,3.05,27.7,-0.858,-0.362,599.9,13.4,14.7,76.21,272.34
2021-01-14,East,14.78,25.44,0.393,0.258,589.0,13.5,6.7,79.88,320.66
2021-01-14,West,18.73,29.03,-0.436,-0.645,522.8,7.1,9.0,70.25,288.91
2021-01-14,Central,39.28,22.53,0.553,-0.318,458.8,8.8,14.9,80.59,320.13
2021-01-15,North,8.03,26.46,0.502,0.509,489.8,12.8,9.6,80.43,326.27
2021-01-15,South,52.89,27.03,0.653,-0.36,513.5,14.6,15.0,83.25,324.15
2021-01-15,East,47.71,27.81,0.901,0.147,533.4,12.2,6.5,80.15,343.46
2021-01-15,West,22.56,22.52,-0.343,0.345,494.5,14.7,10.8,80.37,305.06
2021-01-15,Central,17.31,28.56,-0.818,-0.011,531.3,12.5,5.6,72.18,290.44
2021-01-16,North,39.25,21.77,0.775,-0.298,537.6,10.0,13.5,82.44,324.73
2021-01-16,South,77.34,28.03,0.236,-0.798,473.6,14.6,5.8,76.37,318.65
